FID,lon,lat
0,113.85197,22.83601
1,113.8713,22.83558
2,113.84481,22.82642
3,113.84895,22.82112
4,113.84439,22.82792
5,113.84572,22.82934
6,113.84327,22.83305
7,113.8501,22.83008
8,113.84914,22.83131
9,113.85272,22.82415
10,113.86489,22.82662
11,113.86902,22.83385
12,113.86531,22.82339
13,113.86677,22.82701
14,113.86626,22.82764
15,113.86576,22.82684
16,113.87683,22.83014
17,113.87708,22.82994
18,113.87661,22.83012
19,113.87664,22.83034
20,113.87685,22.83036
21,113.87642,22.83031
22,113.87861,22.82905
23,113.87645,22.83053
24,113.87664,22.83053
25,113.87854,22.83072
26,113.87878,22.83095
27,113.87645,22.83072
28,113.8762,22.83059
29,113.87626,22.83081
30,113.87678,22.83105
31,113.87788,22.831
32,113.87573,22.8317
33,113.88425,22.82653
34,113.88453,22.82631
35,113.88406,22.82653
36,113.88406,22.82672
37,113.88425,22.82672
38,113.88568,22.82689
39,113.88558,22.8271
40,113.88577,22.8271
41,113.88521,22.82692
42,113.88539,22.8271
43,113.88539,22.82729
44,113.88561,22.82731
45,113.8852,22.82729
46,113.88528,22.82751
47,113.88549,22.82748
48,113.88824,22.82664
49,113.88056,22.82814
50,113.88626,22.82788
51,113.8858,22.82829
52,113.88635,22.82891
53,113.8865,22.82921
54,113.87991,22.83034
55,113.88231,22.82979
56,113.88084,22.82945
57,113.88059,22.82947
58,113.88373,22.82627
59,113.88432,22.8271
60,113.88334,22.82792
61,113.88474,22.82739
62,113.88743,22.82697
63,113.89198,22.82873
64,113.89491,22.83103
65,113.90086,22.83141
66,113.83672,22.82245
67,113.8391,22.81882
68,113.8394,22.82048
69,113.83962,22.81844
70,113.83961,22.81706
71,113.84076,22.81806
72,113.8476,22.81293
73,113.8419,22.81849
74,113.8419,22.8174
75,113.85315,22.81715
76,113.85427,22.81604
77,113.8562,22.8215
78,113.85457,22.81788
79,113.85563,22.81863
80,113.85656,22.81787
81,113.85559,22.81711
82,113.86032,22.82015
83,113.85894,22.81863
84,113.85896,22.81711
85,113.86911,22.82241
86,113.86175,22.82015
87,113.86132,22.82106
88,113.86132,22.81939
89,113.86222,22.81863
90,113.86132,22.81786
91,113.86112,22.81522
92,113.86636,22.82015
93,113.86346,22.81711
94,113.86533,22.816
95,113.86541,22.81865
96,113.8683,22.8172
97,113.87582,22.81705
98,113.87816,22.8193
99,113.87842,22.81932
100,113.87888,22.81924
101,113.87859,22.81953
102,113.87904,22.81955
103,113.87811,22.81954
104,113.87835,22.81958
105,113.87672,22.81955
106,113.87716,22.81963
107,113.87774,22.81977
108,113.87731,22.81987
109,113.87659,22.81982
110,113.87702,22.81996
111,113.87867,22.81989
112,113.87911,22.82015
113,113.87823,22.81991
114,113.87641,22.81993
115,113.87664,22.82006
116,113.87883,22.82025
117,113.87835,22.82025
118,113.87864,22.82034
119,113.87845,22.82044
120,113.87854,22.82063
121,113.87778,22.82101
122,113.87829,22.82096
123,113.87788,22.8212
124,113.87832,22.82227
125,113.87339,22.81708
126,113.87062,22.815
127,113.8723,22.82034
128,113.87664,22.82062
129,113.87724,22.82093
130,113.87693,22.82126
131,113.87746,22.82131
132,113.87711,22.82182
133,113.87788,22.82016
134,113.87738,22.8201
135,113.87786,22.8192
136,113.87736,22.81919
137,113.87752,22.82038
138,113.87802,22.82053
139,113.87765,22.82073
140,113.87824,22.819
141,113.87797,22.81885
142,113.87865,22.81864
143,113.87836,22.81702
144,113.8788,22.81799
145,113.87776,22.8176
146,113.87968,22.81692
147,113.87899,22.82054
148,113.87888,22.82074
149,113.88059,22.81779
150,113.87911,22.81858
151,113.87921,22.81892
152,113.87935,22.8193
153,113.88025,22.81891
154,113.87945,22.81953
155,113.87972,22.81987
156,113.87942,22.81991
157,113.87959,22.82015
158,113.87983,22.8202
159,113.88086,22.81965
160,113.87987,22.82034
161,113.87983,22.82049
162,113.88478,22.82377
163,113.88581,22.8238
164,113.88545,22.824
165,113.88525,22.82401
166,113.88606,22.82415
167,113.88563,22.82419
168,113.88587,22.82424
169,113.8852,22.82424
170,113.88539,22.82424
171,113.88554,22.82445
172,113.88497,22.82429
173,113.8843,22.82413
174,113.88468,22.82443
175,113.88474,22.82491
176,113.88604,22.82448
177,113.88606,22.82482
178,113.88585,22.82478
179,113.88624,22.82504
180,113.88644,22.82453
181,113.88577,22.82501
182,113.88597,22.82501
183,113.88709,22.82491
184,113.88648,22.82525
185,113.88663,22.82539
186,113.88552,22.82512
187,113.88573,22.82524
188,113.8864,22.82544
189,113.88563,22.82543
190,113.88597,22.82548
191,113.88544,22.82544
192,113.88678,22.82553
193,113.88694,22.82574
194,113.88637,22.82575
195,113.88673,22.82577
196,113.88673,22.82596
197,113.88692,22.82596
198,113.87943,22.82058
199,113.88219,22.82236
200,113.8799,22.8208
201,113.88011,22.82065
202,113.88306,22.82493
203,113.88346,22.82558
204,113.88327,22.82569
205,113.88555,22.82577
206,113.88493,22.82568
207,113.88529,22.82572
208,113.8873,22.82592
209,113.88709,22.82621
210,113.88674,22.82395
211,113.88772,22.82408
212,113.88758,22.82429
213,113.88847,22.82476
214,113.88849,22.82418
215,113.88949,22.82463
216,113.88944,22.8252
217,113.88915,22.82459
218,113.8892,22.82436
219,113.84156,22.80455
220,113.83948,22.81501
221,113.84019,22.81576
222,113.84019,22.81454
223,113.84019,22.81287
